Date,Open,High,Low,Close,Adj Close,Volume
2017-04-10,9557.309570,9578.690430,9521.230469,9529.509766,9529.509766,36500
2017-04-11,9540.910156,9592.730469,9524.660156,9586.490234,9586.490234,41000
2017-04-12,9602.950195,9605.820313,9505.660156,9554.709961,9554.709961,41900
2017-04-13,9554.110352,9558.759766,9489.700195,9496.440430,9496.440430,34700
2017-04-17,9498.809570,9510.799805,9466.250000,9483.740234,9483.740234,36600
2017-04-18,9505.450195,9571.230469,9426.530273,9438.570313,9438.570313,48000
2017-04-19,9452.099609,9465.429688,9413.870117,9450.530273,9450.530273,38000
2017-04-20,9452.980469,9496.660156,9450.559570,9487.389648,9487.389648,46900
2017-04-21,9531.480469,9535.750000,9440.480469,9472.750000,9472.750000,44800
2017-04-24,9489.660156,9576.820313,9488.990234,9569.870117,9569.870117,43200
2017-04-25,9622.490234,9674.280273,9608.900391,9670.190430,9670.190430,38100
2017-04-26,9697.099609,9725.750000,9646.419922,9707.150391,9707.150391,41600
2017-04-27,9708.230469,9724.190430,9679.830078,9693.589844,9693.589844,35800
2017-04-28,9708.150391,9709.200195,9654.030273,9669.959961,9669.959961,52000
2017-05-02,9700.799805,9730.240234,9641.549805,9690.969727,9690.969727,46300
2017-05-03,9712.330078,9723.200195,9671.450195,9683.679688,9683.679688,45200
2017-05-04,9728.599609,9737.959961,9697.030273,9734.530273,9734.530273,55400
2017-05-05,9744.799805,9751.570313,9633.459961,9648.500000,9648.500000,61200
2017-05-08,9676.240234,9705.980469,9664.969727,9682.349609,9682.349609,43100
2017-05-09,9696.490234,9716.219727,9676.780273,9696.790039,9696.790039,55700
2017-05-10,9718.110352,9803.860352,9717.849609,9796.929688,9796.929688,42800
2017-05-11,9824.570313,9840.639648,9799.870117,9809.330078,9809.330078,40400
2017-05-12,9821.280273,9823.830078,9748.080078,9775.990234,9775.990234,44400
2017-05-15,9807.339844,9827.839844,9801.740234,9820.950195,9820.950195,37600
2017-05-16,9840.969727,9887.110352,9834.570313,9883.620117,9883.620117,64000
2017-05-17,9892.480469,9902.280273,9859.309570,9889.809570,9889.809570,53400
2017-05-18,9836.490234,9854.080078,9755.730469,9768.459961,9768.459961,43200
2017-05-19,9805.870117,9853.240234,9715.179688,9760.080078,9760.080078,43800
2017-05-22,9817.269531,9836.730469,9750.240234,9760.629883,9760.629883,54700
2017-05-23,9761.339844,9770.700195,9665.589844,9688.120117,9688.120117,58300
2017-05-24,9712.870117,9733.730469,9625.099609,9647.469727,9647.469727,54100
2017-05-25,9672.349609,9801.169922,9664.379883,9791.969727,9791.969727,49200
2017-05-26,9799.769531,9911.309570,9785.389648,9903.679688,9903.679688,54300
2017-05-29,9888.870117,9933.059570,9843.360352,9891.129883,9891.129883,71500
2017-05-30,9887.660156,9928.080078,9858.459961,9917.179688,9917.179688,71400
2017-05-31,9939.929688,9955.889648,9915.400391,9928.650391,9928.650391,88800
2017-06-01,9925.000000,9946.259766,9899.400391,9926.730469,9926.730469,52800
2017-06-02,9952.290039,9987.160156,9950.860352,9971.629883,9971.629883,70100
2017-06-05,9982.059570,10015.150391,9965.290039,9999.730469,9999.730469,42500
2017-06-06,10036.219727,10038.759766,9944.320313,9952.089844,9952.089844,49700
2017-06-07,9973.190430,10000.410156,9950.099609,9983.759766,9983.759766,48300
2017-06-08,10000.580078,10014.639648,9965.540039,9971.709961,9971.709961,42700
2017-06-09,9969.129883,9999.549805,9933.500000,9990.610352,9990.610352,39500
2017-06-12,9982.519531,9982.660156,9922.299805,9940.059570,9940.059570,44100
2017-06-13,9943.589844,9986.000000,9924.759766,9936.759766,9936.759766,52100
2017-06-14,9947.389648,9957.049805,9907.150391,9943.889648,9943.889648,44700
2017-06-15,9958.599609,9959.849609,9894.349609,9913.549805,9913.549805,48600
2017-06-16,9939.990234,9955.040039,9905.160156,9920.240234,9920.240234,42600
2017-06-19,9952.950195,10004.400391,9950.429688,9986.509766,9986.509766,19100
2017-06-20,10010.889648,10015.969727,9978.269531,9990.000000,9990.000000,21300
2017-06-21,9991.009766,9991.009766,9949.599609,9970.530273,9970.530273,48100
2017-06-22,9993.629883,10036.519531,9947.099609,9958.299805,9958.299805,30100
2017-06-23,9976.700195,9979.559570,9875.410156,9890.750000,9890.750000,108000
2017-06-27,9912.429688,9931.490234,9785.969727,9825.540039,9825.540039,30700
2017-06-28,9833.139648,9842.120117,9791.839844,9811.120117,9811.120117,26700
2017-06-29,9837.750000,9895.910156,9811.280273,9826.669922,9826.669922,26900
2017-06-30,9822.780273,9865.320313,9773.940430,9852.860352,9852.860352,25500
2017-07-03,9917.860352,9966.790039,9878.740234,9958.780273,9958.780273,35200
2017-07-04,9993.179688,10001.219727,9937.679688,9952.429688,9952.429688,26300
2017-07-05,9973.400391,9996.179688,9950.389648,9988.299805,9988.299805,23000
2017-07-06,10008.620117,10054.599609,10001.000000,10024.589844,10024.589844,29500
2017-07-07,10026.740234,10039.650391,9999.000000,10018.269531,10018.269531,26600
2017-07-10,10064.559570,10140.200195,10058.240234,10127.379883,10127.379883,127200
2017-07-11,10151.759766,10175.719727,10116.120117,10123.580078,10123.580078,33500
2017-07-12,10147.469727,10173.709961,10133.280273,10165.870117,10165.870117,25700
2017-07-13,10198.379883,10247.509766,10197.040039,10239.379883,10239.379883,26300
2017-07-14,10261.400391,10266.870117,10194.190430,10239.080078,10239.080078,26100
2017-07-17,10249.669922,10279.929688,10245.339844,10268.750000,10268.750000,26400
2017-07-18,10203.469727,10244.669922,10170.980469,10178.049805,10178.049805,41100
2017-07-19,10225.099609,10271.190430,10209.839844,10264.900391,10264.900391,47800
2017-07-20,10283.839844,10289.299805,10227.959961,10234.990234,10234.990234,30600
2017-07-21,10267.400391,10282.740234,10194.629883,10270.719727,10270.719727,43000
2017-07-24,10290.830078,10343.169922,10280.179688,10320.450195,10320.450195,27900
2017-07-25,10354.219727,10361.429688,10312.809570,10328.469727,10328.469727,35000
2017-07-26,10346.080078,10385.299805,10334.419922,10378.440430,10378.440430,35400
2017-07-27,10418.269531,10473.030273,10360.719727,10375.450195,10375.450195,29500
2017-07-28,10378.230469,10386.269531,10310.320313,10374.330078,10374.330078,30300
2017-07-31,10399.870117,10441.240234,10383.940430,10432.759766,10432.759766,35300
2017-08-01,10462.230469,10478.379883,10434.160156,10465.099609,10465.099609,28300
2017-08-02,10486.599609,10494.120117,10410.150391,10433.860352,10433.860352,27100
2017-08-03,10444.549805,10444.549805,10362.980469,10380.330078,10380.330078,34400
2017-08-04,10367.610352,10456.290039,10355.179688,10444.690430,10444.690430,34200
2017-08-07,10468.610352,10484.080078,10447.200195,10462.750000,10462.750000,25700
2017-08-08,10483.150391,10491.660156,10337.379883,10369.809570,10369.809570,119300
2017-08-09,10344.530273,10359.469727,10257.959961,10280.330078,10280.330078,27900
2017-08-10,10268.610352,10270.049805,10097.919922,10154.070313,10154.070313,47300
2017-08-11,10089.750000,10130.230469,10028.209961,10063.160156,10063.160156,40900
2017-08-14,10096.389648,10191.530273,10096.250000,10167.099609,10167.099609,28400
2017-08-16,10207.530273,10282.879883,10151.629883,10273.219727,10273.219727,42900
2017-08-17,10316.019531,10325.150391,10258.959961,10276.540039,10276.540039,28800
2017-08-18,10258.530273,10258.530273,10160.959961,10216.530273,10216.530273,32700
2017-08-21,10247.679688,10266.809570,10104.599609,10117.769531,10117.769531,40700
2017-08-22,10159.769531,10198.889648,10106.320313,10121.669922,10121.669922,28200
2017-08-23,10161.660156,10224.950195,10146.490234,10219.040039,10219.040039,29800
2017-08-24,10247.540039,10257.219727,10220.030273,10237.179688,10237.179688,27400
